# =============================================================================
# suburb_act_freq.csv - Frequency table for suburbs in the ACT
#
# Source: Australian Whitepages (http://www.whitepages.com.au)
#         (May 2001)
#
# Last update: 11/04/2002, Peter Christen
#
# =============================================================================
# Freely extensible biomedical record linkage (Febrl) Version 0.2.1
# See http://datamining.anu.edu.au/projects/linkage.html
#
# AUSTRALIAN NATIONAL UNIVERSITY OPEN SOURCE LICENSE (ANUOS LICENSE)
# VERSION 1.1
#
# The contents of this file are subject to the ANUOS License Version 1.1 (the
# "License"); you may not use this file except in compliance with the License.
# Software distributed under the License is distributed on an "AS IS" basis,
# WITHOUT WARRANTY OF ANY KIND, either express or implied. See the License for
# the specific language governing rights and limitations under the License.
# The Original Software is "suburb_act_freq.csv".
# The Initial Developers of the Original Software are Dr Peter Christen
# (Department of Computer Science, Australian National University) and Dr Tim
# Churches (Centre for Epidemiology and Research, New South Wales Department
# of Health). Copyright (C) 2002, 2003 the Australian National University and
# others. All Rights Reserved.
# Contributors:
#
# =============================================================================

# =============================================================================
#
# This table is in a two-column comma separated format, with the first column
# being the names and the second a corresponding frequency count. 
#
# =============================================================================

acton,11
ainslie,1981
amaroo,944
aranda,971
banks,1136
barton,217
belconnen,1201
binalong,2
bonython,1143
boorowa,2
braddon,1244
brindabella,24
bruce,710
bungendore,1
burra,1
bywong,48
calwell,1904
campbell,1350
canberra,487
centre,5
chapman,1046
charnwood,1049
chifley,1010
chisholm,1726
city,314
civic,4
conder,1312
cook,1284
corin,1
cotter,4
creek,26
cuppacumbalong,2
curtin,2147
dam,5
deakin,1275
dickson,805
downer,1395
duffy,1211
dunlop,770
duntroon,117
emu,73
erindale,2
estate,123
evatt,1958
fadden,1078
fairbairn,3
farrer,1354
fisher,1273
florey,1723
flynn,1217
forde,1
forest,24
forrest,434
fraser,724
fyshwick,109
garran,1095
gilmore,865
ginninderra,1
giralang,1236
gordon,2372
gowrie,1057
greenway,424
griffith,1666
gudgenby,1
gungahlin,54
gunning,6
hackett,1228
hall,448
harman,25
hawker,1171
higgins,1128
hill,1392
hmas,2
holder,1109
holt,1907
hughes,1258
hume,16
isaacs,991
isabella,1370
kaleen,2629
kambah,5706
kingston,1074
latham,1350
lyneham,1790
lyons,1174
macarthur,486
macgregor,1203
macquarie,958
mail,3
majura,1
manuka,45
mawson,1279
mckellar,864
melba,1219
mitchell,36
monash,1933
mount,17
mullion,25
naas,10
narrabundah,2306
ngunnawal,3009
nicholls,1640
oaks,123
oconnor,2003
omalley,262
oxley,600
page,1164
palmerston,1820
parkes,2
pearce,1057
phillip,827
pialligo,78
pierces,1
plains,1370
queanbeyan,3
radcliffe,29
red,1232
reid,735
richardson,1003
ridge,73
rivett,1255
scullin,1167
spence,919
square,3
stirling,799
stromlo,18
swinger,160
symonston,71
taylor,1
tharwa,101
the,25
theodore,1259
tidbinbilla,4
top,10
torrens,889
tuggeranong,2
turner,824
uriarra,28
wanniassa,2861
waramanga,1098
watson,1557
weetangera,992
weston,1445
woden,45
yarralumla,1307
yass,1
