# =============================================================================
# suburb_nsw_freq.csv - Frequency table for suburbs in New South Wales
#
# Source: Australian Whitepages (http://www.whitepages.com.au)
#         (May 2001)
#
# Last update: 11/04/2002, Peter Christen
#
# =============================================================================
# Freely extensible biomedical record linkage (Febrl) Version 0.2.1
# See http://datamining.anu.edu.au/projects/linkage.html
#
# AUSTRALIAN NATIONAL UNIVERSITY OPEN SOURCE LICENSE (ANUOS LICENSE)
# VERSION 1.1
#
# The contents of this file are subject to the ANUOS License Version 1.1 (the
# "License"); you may not use this file except in compliance with the License.
# Software distributed under the License is distributed on an "AS IS" basis,
# WITHOUT WARRANTY OF ANY KIND, either express or implied. See the License for
# the specific language governing rights and limitations under the License.
# The Original Software is "suburb_nsw_freq.csv".
# The Initial Developers of the Original Software are Dr Peter Christen
# (Department of Computer Science, Australian National University) and Dr Tim
# Churches (Centre for Epidemiology and Research, New South Wales Department
# of Health). Copyright (C) 2002, 2003 the Australian National University and
# others. All Rights Reserved.
# Contributors:
#
# =============================================================================

# =============================================================================
#
# This table is in a two-column comma separated format, with the first column
# being the names and the second a corresponding frequency count. 
#
# =============================================================================

abbotsbury,765
abbotsford,1820
abercrombie,30
aberdare,589
aberdeen,812
aberfoyle,15
aberglasslyn,248
abermain,740
abernethy,69
acacia,56
adaminaby,278
adamstown,4055
adelong,487
adjungbilly,31
adrah,9
aerodrome,2
afterlee,15
agnes,179
airds,806
airport,1
akolele,28
akuna,4
albans,134
albert,442
albion,5158
albury,9388
aldavilla,276
alectown,83
alexandria,2035
alfords,832
alice,33
alison,11
allambie,2137
allandale,37
allawah,1248
alleena,34
alley,5
allgomera,1
allworth,61
allynbrook,29
alma,22
alphadale,28
alpine,896
alstonville,2756
alumy,1
amaroo,5
ambarvale,1838
amesbury,8
ana,9
ando,46
andrews,1384
anembo,25
angledale,26
angledool,9
anglers,65
angourie,123
angy,73
anna,1333
annan,1294
annandale,3706
annangrove,339
antiene,1
anzac,3
appin,500
apple,7
apsley,2
arakoon,111
araluen,73
arcadia,994
ardglen,8
arding,56
ardlethan,271
argalong,7
argenton,519
argents,52
argoon,7
argyle,21
ariah,267
arkstone,1
arm,601
armatree,58
armidale,8421
arncliffe,3552
arndell,48
arrawarra,205
artarmon,3896
arthurville,18
arumpo,8
ash,390
ashbury,779
ashby,145
ashcroft,777
ashfield,7307
ashford,336
ashley,104
ashmont,389
ashtonfield,931
asquith,1116
athol,21
atholwood,11
attunga,286
auburn,7009
audley,8
austin,124
austinmer,950
austral,685
australia,7
avalon,3352
avisford,3
avoca,2561
awaba,134
aylmerton,68
baa,94
baan,94
babyl,4
backmede,35
backwater,5
baden,1
badgerys,154
baerami,43
bagnoo,22
bago,15
bagotville,12
bakers,32
balala,16
balarang,7
balcolyn,319
bald,1
baldry,50
balfours,5
balgowlah,5325
balgownie,1897
balladoran,33
ballalaba,36
balldale,104
ballengarra,20
ballimore,75
ballina,6992
balmain,5613
balmoral,1112
balranald,706
bambilla,4
banar,11
bandon,43
bangalow,690
bangaroo,1
bangor,1673
banks,179
banksia,502
banksmeadow,86
bankstown,7135
bannaby,16
bannister,45
banoon,3
banora,5039
bar,1990
baradine,418
barden,330
bardouroka,2
bardwell,612
barellan,259
bargo,1055
barham,710
barkers,60
barmedman,221
barnawartha,1
barnsley,601
baromee,1
barooga,522
barraba,834
barrack,2293
barraga,13
barraganyatti,29
barrallier,6
barrengarry,59
barretts,3
barrier,7
barrington,157
barringun,6
barry,69
barryreenie,2
barwick,14
baryulgil,37
basin,1286
bass,2261
bateau,4221
batehaven,1243
batemans,1762
bath,210
bathurst,7805
batlow,621
baulkham,10686
bawley,413
bay,52596
bayldon,878
bayswater,61
bayview,1522
bc,3
beach,19068
beacon,2233
beaconsfield,180
bean,1
bearbung,2
